x,y
5628.223633,0.915555
8565.325195,9.460738
9457.686523,14.343699
9817.499023,41.810356
9946.287109,274.666595
9952.391602,287.789551
9968.260742,496.230957
9981.688477,1166.417480
9994.506836,2365.184570
9997.558594,4913.479980
9999.389648,9964.598633
9996.948242,9967.955078
9826.959961,9984.130859
9693.289063,9993.286133
9492.171875,9997.558594
1903.744629,9999.083984
553.300598,9981.688477
153.508102,9950.254883
22.888882,9866.939453
2.746666,6143.986328
2.441481,3110.751709
16.174810,428.785065
69.887390,200.811798
355.235443,27.466658
610.065002,16.174810
970.183411,10.681479
2034.669067,3.662221
2725.302979,1.220740
5628.223633,0.915555
