x,y
563.585327,1.251259
808.740479,193.304245
479.873047,585.009338
895.962402,350.291443
746.604797,822.840027
858.943420,174.108093
513.534973,710.501404
14.984589,303.994873
364.452026,91.402939
165.898621,147.312851
445.692322,988.525024
4.669332,119.083221
377.880188,8.911405
571.184448,531.662964
607.165771,601.763977
663.045166,166.234314
352.122559,450.788910
607.684570,57.039093
802.606262,783.318604
301.950134,519.882813
726.676208,875.972778
925.717957,955.900757
142.338333,539.353638
235.328232,462.080750
209.601120,862.239441
843.653687,779.656372
999.694824,996.795532
392.437500,611.499390
297.280792,266.212952
23.743401,840.144043
92.623672,375.865967
56.215096,677.205750
918.790222,8.789330
272.896515,275.887329
691.183228,587.908569
726.493103,837.611023
205.359055,484.939117
468.459106,743.736084
949.156189,457.960754
108.279671,744.437988
385.235138,599.047852
608.966309,735.007813
361.339142,572.405151
225.104523,151.554916
802.880920,425.153351
989.989929,517.105652
345.561096,751.548828
657.307678,168.980988
63.539536,491.897339
504.806671,699.758911
949.583435,147.495956
905.117981,141.575363
303.048798,692.892212
70.375687,426.557220
683.187378,966.612732
877.254578,153.233429
582.049011,821.680359
177.892395,191.351059
475.264740,817.194153
503.921631,155.552841
405.591003,732.016968
568.742920,279.580078
755.851929,682.241272
475.295258,721.915344
367.809082,123.020111
35.096287,834.681213
662.984070,517.014099
104.678490,426.221497
921.384338,949.339294
345.988342,549.546814
374.980927,471.724609
316.873688,846.980164
271.889404,456.099121
297.799622,982.970642
567.278076,739.188843
761.314758,195.989868
397.656189,839.442139
890.163879,500.900299
994.628723,27.466658
50.508133,572.588257
194.067200,531.327271
626.758606,843.043335
197.851501,657.612854
123.325294,842.158264
743.125732,109.927673
941.068787,314.065979
336.313965,286.080505
733.085144,140.263077
707.998901,834.620178
747.215210,600.238037
144.474625,252.723770
61.006500,1.617481
852.626099,806.237976
115.604111,210.577713
14.252144,553.209045
454.512177,113.773003
686.147644,752.220215
73.885315,543.443115
201.940979,436.719879
290.353088,696.218750
